id_plant,bird_sp,mean.sde.qtc,median.sde.qtc,mean.sde.qlc,median.sde.qlc,mean.rpe.qtc,median.rpe.qtc,mean.rpe.qlc,median.rpe.qlc,initcrop,area,median.sde.qlc.FR,median.sde.qlc.NF,median.sde.qlc.OA,median.sde.qlc.PP,median.sde.qlc.PL,mean.sde,median.sde,mean.rpe,median.rpe
302,Sylvia melanocephala,2654.317194681512,2029.5330244463291,2.758235053160828e-4,1.234546262037342e-4,2654.317194681512,2029.5330244463291,0.6917421437082191,0.6887876841947369,19750,28.93158,5.4679117484407735e-6,2.4530285005618512e-5,0,2.444248288171568e-5,5.8349836176086595e-6,0.7028209693093812,0.2541701643646913,1854.3447112142997,1362.1305094783006
302,Turdus merula,1070.846202938896,752.4217854940316,2.2983233764980215e-4,1.0925212553075656e-4,1070.846202938896,752.4217854940316,0.6917421437082191,0.6887876841947369,19750,28.93158,7.990508348082907e-6,1.4581724203665508e-5,0,1.9761164815777694e-5,7.056127288765181e-6,0.23056631951282847,0.08542766328351437,758.1469206022576,487.59968021804485
302,Turdus philomelos,37.89459800182578,21.18820780764709,2.331415613149388e-4,1.0233796033756132e-4,37.89459800182578,21.18820780764709,0.6917421437082191,0.6887876841947369,19750,28.93158,7.41198290368322e-6,1.1134932036377788e-5,0,1.911282803213395e-5,3.935950997045461e-6,0.009001907017091337,0.0017828172063282662,26.106131330008935,13.652963216733973
302,Turdus viscivorus,6.687880397942285,2.8418094478520395,2.4322829976720643e-4,9.605817697357205e-5,6.687880397942285,2.8418094478520395,0.6917421437082191,0.6887876841947369,19750,28.93158,3.6331907737794987e-6,5.53455103792409e-6,0,2.1496258741798087e-5,6.581926806720177e-6,0.001613737287730621,2.490442837595885e-4,4.698792948924792,1.806169690016271
303,Chloris chloris,2016.9669195534077,1053.1714326978145,2.7537064575641394e-7,7.424631924372143e-8,2014.1443257730168,1052.077375429078,0.27224433583200003,0.26870604600000003,20925,19.96076,1.6847627614450971e-9,2.103936363345406e-9,0,3.150273270978323e-9,4.0760145879556933e-8,5.102026468370008e-4,8.038509339063699e-5,556.1059257012136,274.4549397951449
303,Erithacus rubecula,773.4548940391446,598.7954218472767,2.3409624575358772e-4,1.0826229658836457e-4,773.4548940391446,598.7954218472767,0.17847368200912264,0.18025720245947371,20925,19.96076,5.977454955743971e-6,1.6348246065973942e-5,0,1.2937330138505304e-5,1.3376162203326168e-5,0.1832655805755705,0.06070657699492547,139.1552595903914,99.80530861331577
303,Fringilla coelebs,15.466021798174006,8.64205330128405,3.61415675866866e-7,1.369457345338775e-7,15.443980271706451,8.626392912173877,0.27224433583200003,0.26870604600000003,20925,19.96076,4.254221629727525e-9,7.036924196885696e-9,0,4.279549861035402e-8,8.467353240461628e-9,5.179179982435966e-6,1.2498568373673558e-6,4.250650390416547,2.2390091889359853
303,Phoenicurus phoenicurus,32.251214815449565,20.74383192610813,2.660834456231241e-4,1.0431280220987314e-4,32.251214815449565,20.74383192610813,0.17847368200912264,0.18025720245947371,20925,19.96076,3.86137354881587e-6,9.220035407437976e-6,0,4.622214429709822e-5,1.9984064832122217e-6,0.008514127116629517,0.0021552979778606323,5.6439017878236255,3.3494216401807586
303,Sylvia atricapilla,111.92040711183554,77.221014825975,2.512904107683327e-4,1.1212062119435121e-4,111.92040711183554,77.221014825975,0.17847368200912264,0.18025720245947371,20925,19.96076,6.364816873633279e-6,1.5597238597194234e-5,0,2.558650084852908e-5,5.7631292142662625e-6,0.02885586225178104,0.008447437274754652,20.197340750064363,12.711046456214017
303,Sylvia communis,41.87289734841923,26.158673963638257,2.4280296176261662e-4,1.1238860546397973e-4,41.87289734841923,26.158673963638257,0.17847368200912264,0.18025720245947371,20925,19.96076,5.958001204907687e-6,9.806126158029123e-6,0,2.592852233688879e-5,7.806060740705224e-6,0.010600450665808269,0.0026687808009842368,7.3662480088162345,4.126230527164468
303,Sylvia hortensis,19.8090175914195,11.785917687661103,2.2135231715431224e-4,9.751978724161525e-5,19.8090175914195,11.785917687661103,0.17847368200912264,0.18025720245947371,20925,19.96076,6.603642976247119e-6,8.21356052428392e-6,0,1.4884290288933521e-5,1.0636776915591313e-5,0.004439424174830076,0.0010749472916639505,3.5674966005731545,1.8806713853873775
303,Sylvia melanocephala,527.4093242490944,390.6163173793954,2.758235053160828e-4,1.234546262037342e-4,527.4093242490944,390.6163173793954,0.17847368200912264,0.18025720245947371,20925,19.96076,5.4679117484407735e-6,2.4530285005618512e-5,0,2.444248288171568e-5,5.8349836176086595e-6,0.13995121456369758,0.04750562474525555,94.6151216477066,67.34816730045263
303,Sylvia undata,35.30746329992845,21.818708943258265,3.1023000452786456e-4,1.1796638763767494e-4,35.30746329992845,21.818708943258265,0.17847368200912264,0.18025720245947371,20925,19.96076,4.264720650632002e-6,3.7338615169521145e-5,0,1.1752131705768699e-5,6.960167590785653e-6,0.010040726510915218,0.0025328013910328054,6.289142009702324,3.4702397633919233
304,Chloris chloris,3046.8274261098686,1659.1381701426762,2.7537064575641394e-7,7.424631924372143e-8,3042.514660340199,1656.2714264698488,0.4014821371680001,0.3883488840000001,54850,19.71761,1.6847627614450971e-9,2.103936363345406e-9,0,3.150273270978323e-9,4.0760145879556933e-8,7.99687027488555e-4,1.3562443430181737e-4,1224.348599724813,685.2100034728306
304,Cyanistes caeruleus,22.999213946801657,13.464180888978653,0,0,22.999213946801657,13.464180888978653,0.4111915924071474,0.3465921006639474,54850,19.71761,0,0,0,0,0,0,0,9.482957967453597,4.93665746595158
304,Cyanopica cooki,100.18328468756393,61.163341497347055,2.5282150611017615e-4,1.075352023774347e-4,100.18328468756393,61.163341497347055,0.4111915924071474,0.3465921006639474,54850,19.71761,3.825737618488723e-6,7.265514988867261e-6,0,3.7774219391850425e-5,4.8160742432213985e-6,0.025853286761251353,0.00653712600525197,41.53659895979282,23.664566807218634
304,Erithacus rubecula,3109.145658675713,2599.7578054355185,2.3409624575358772e-4,1.0826229658836457e-4,3109.145658675713,2599.7578054355185,0.4111915924071474,0.3465921006639474,54850,19.71761,5.977454955743971e-6,1.6348246065973942e-5,0,1.2937330138505304e-5,1.3376162203326168e-5,0.7432862744750154,0.2615900895044436,1271.178401058037,940.0583967100117
304,Ficedula hypoleuca,39.067051762173946,25.271223264437964,2.4370019614212732e-4,9.813128617946622e-5,39.067051762173946,25.271223264437964,0.4111915924071474,0.3465921006639474,54850,19.71761,2.5834181750114782e-6,3.764687008077196e-6,0,3.893698336799785e-5,4.619657211207813e-6,0.009320026257406834,0.002459945589962846,16.509735316254332,9.224875297523575
304,Fringilla coelebs,119.2758623434388,84.56301655338876,3.61415675866866e-7,1.369457345338775e-7,119.10428987391508,84.4074789819029,0.4014821371680001,0.3883488840000001,54850,19.71761,4.254221629727525e-9,7.036924196885696e-9,0,4.279549861035402e-8,8.467353240461628e-9,4.299698389909847e-5,1.1215246508447512e-5,47.83653330615663,33.53687685329843
304,Hippolais polyglotta,12.012122561374662,6.67134998922233,2.492095526057156e-4,9.851824719407412e-5,12.012122561374662,6.67134998922233,0.4111915924071474,0.3465921006639474,54850,19.71761,3.5335786801027545e-6,6.309573388776336e-6,0,2.1032188198455543e-5,6.9936698010128305e-6,0.0027413824602883874,6.332520563353425e-4,4.888258987688156,2.5243452701741824
304,Luscinia megarhynchos,41.06201559111396,24.758493903660877,2.5573807039965766e-4,1.01399246619639e-4,41.06201559111396,24.758493903660877,0.4111915924071474,0.3465921006639474,54850,19.71761,3.001608065358732e-6,4.119994126530376e-6,0,4.0258676097174326e-5,4.427483957505393e-6,0.009739662256904503,0.0024008465995591704,16.66534751418631,8.879724176420147
304,Parus major,35.558200696373156,22.126085391808573,0,0,35.558200696373156,22.126085391808573,0.4111915924071474,0.3465921006639474,54850,19.71761,0,0,0,0,0,0,0,14.879305065385115,8.2863205856635
304,Phoenicurus phoenicurus,613.5659935696414,474.77862728568294,2.660834456231241e-4,1.0431280220987314e-4,613.5659935696414,474.77862728568294,0.4111915924071474,0.3465921006639474,54850,19.71761,3.86137354881587e-6,9.220035407437976e-6,0,4.622214429709822e-5,1.9984064832122217e-6,0.15689019320348815,0.05120275736985887,249.4547418999231,180.05312923733027
304,Saxicola rubicola,33.35074280339615,22.502736456527813,2.3114528910269457e-4,9.834626595560914e-5,33.35074280339615,22.502736456527813,0.4111915924071474,0.3465921006639474,54850,19.71761,3.3360479328332353e-6,4.099518623661712e-6,0,1.749351148600945e-5,1.5695273524308778e-5,0.007825206407195449,0.0019700508188184532,13.644010900406839,8.378462525273454
304,Sturnus unicolor,106.23126554440256,66.768090540525,2.673394560292955e-4,9.50379159134081e-5,106.23126554440256,66.768090540525,0.4111915924071474,0.3465921006639474,54850,19.71761,1.119097332205533e-6,1.0521081973255965e-6,0,5.9979283660749515e-5,2.7268876640873717e-6,0.02373840264300895,0.006210977140690493,43.75314407626339,24.230601427646842
304,Sylvia atricapilla,479.76462439246,373.1227469648071,2.512904107683327e-4,1.1212062119435121e-4,479.76462439246,373.1227469648071,0.4111915924071474,0.3465921006639474,54850,19.71761,6.364816873633279e-6,1.5597238597194234e-5,0,2.558650084852908e-5,5.7631292142662625e-6,0.11626984302030603,0.04308290271243648,194.97857635371338,139.0493270158148
304,Sylvia borin,17.065187708616847,10.236357420374771,2.224532729401631e-4,9.124344534623745e-5,17.065187708616847,10.236357420374771,0.4111915924071474,0.3465921006639474,54850,19.71761,3.393856258934972e-6,4.8087347440261615e-6,0,1.1394297312069825e-5,1.5835040438280603e-5,0.003526350789923701,8.547666867176358e-4,6.982925193404907,3.907916688537212
304,Sylvia communis,108.58961647112991,79.43760950394099,2.4280296176261662e-4,1.1238860546397973e-4,108.58961647112991,79.43760950394099,0.4111915924071474,0.3465921006639474,54850,19.71761,5.958001204907687e-6,9.806126158029123e-6,0,2.592852233688879e-5,7.806060740705224e-6,0.024841952563130095,0.008528383683152414,44.96999593606628,29.465833223163578
304,Sylvia hortensis,159.71840010722048,117.51022930498064,2.2135231715431224e-4,9.751978724161525e-5,159.71840010722048,117.51022930498064,0.4111915924071474,0.3465921006639474,54850,19.71761,6.603642976247119e-6,8.21356052428392e-6,0,1.4884290288933521e-5,1.0636776915591313e-5,0.03393066571535325,0.011592924821383545,66.84950639400483,44.472434282562986
304,Sylvia melanocephala,5186.618822709611,4206.0552735687,2.758235053160828e-4,1.234546262037342e-4,5186.618822709611,4206.0552735687,0.4111915924071474,0.3465921006639474,54850,19.71761,5.4679117484407735e-6,2.4530285005618512e-5,0,2.444248288171568e-5,5.8349836176086595e-6,1.3654233764657087,0.5080339881536532,2091.2507379692806,1600.1591863748722
304,Sylvia undata,134.75484785511753,95.74247687884424,3.1023000452786456e-4,1.1796638763767494e-4,134.75484785511753,95.74247687884424,0.4111915924071474,0.3465921006639474,54850,19.71761,4.264720650632002e-6,3.7338615169521145e-5,0,1.1752131705768699e-5,6.960167590785653e-6,0.0400712306500306,0.011987332737822279,55.345938778933196,37.82542722735262
304,Turdus merula,2744.1276021810822,2156.852548612311,2.2983233764980215e-4,1.0925212553075656e-4,2744.1276021810822,2156.852548612311,0.4111915924071474,0.3465921006639474,54850,19.71761,7.990508348082907e-6,1.4581724203665508e-5,0,1.9761164815777694e-5,7.056127288765181e-6,0.6040428160149841,0.23792068934071747,1138.1447517460945,805.7788424483302
305,Chloris chloris,1502.3603861876386,782.7789356175979,2.7537064575641394e-7,7.424631924372143e-8,1500.2324767889181,781.4613021688729,0.28017410622600003,0.266744688,18540,13.88528,1.6847627614450971e-9,2.103936363345406e-9,0,3.150273270978323e-9,4.0760145879556933e-8,3.874131715649625e-4,6.538681240348778e-5,424.2809740169809,219.31724768140185
305,Erithacus rubecula,162.0689897650522,116.68992762550897,2.3409624575358772e-4,1.0826229658836457e-4,162.0689897650522,116.68992762550897,0.1997645489792953,0.2081018109694737,18540,13.88528,5.977454955743971e-6,1.6348246065973942e-5,0,1.2937330138505304e-5,1.3376162203326168e-5,0.039377950155339764,0.01156158285002412,33.00154805096407,21.912834070775652
305,Sylvia atricapilla,77.87182589542213,52.142771841302334,2.512904107683327e-4,1.1212062119435121e-4,77.87182589542213,52.142771841302334,0.1997645489792953,0.2081018109694737,18540,13.88528,6.364816873633279e-6,1.5597238597194234e-5,0,2.558650084852908e-5,5.7631292142662625e-6,0.018349764532090265,0.005317337856601649,15.627386529530655,8.992343952250039
305,Sylvia melanocephala,784.8964939599779,588.2061769301697,2.758235053160828e-4,1.234546262037342e-4,784.8964939599779,588.2061769301697,0.1997645489792953,0.2081018109694737,18540,13.88528,5.4679117484407735e-6,2.4530285005618512e-5,0,2.444248288171568e-5,5.8349836176086595e-6,0.20821992654528618,0.07039821796830623,159.91382824388174,103.82663980229238
305,Turdus philomelos,4.156435444810749,1.5449597476931822,2.331415613149388e-4,1.0233796033756132e-4,4.156435444810749,1.5449597476931822,0.1997645489792953,0.2081018109694737,18540,13.88528,7.41198290368322e-6,1.1134932036377788e-5,0,1.911282803213395e-5,3.935950997045461e-6,8.848020686383195e-4,1.1883945619315929e-4,0.8499814844602844,0.25451430240411743
306,Chloris chloris,1313.3533236134938,712.1349710794877,2.7537064575641394e-7,7.424631924372143e-8,1311.5178088203318,710.8750020095883,0.33926197733400004,0.33735357600000004,31837,13.12043,1.6847627614450971e-9,2.103936363345406e-9,0,3.150273270978323e-9,4.0760145879556933e-8,3.447970335723896e-4,5.778750272384166e-5,447.97143711708,231.4426410417708
306,Cyanistes caeruleus,8.575032079354353,4.673394299199054,0,0,8.575032079354353,4.673394299199054,0.5596590449824674,0.6257709386194739,31837,13.12043,0,0,0,0,0,0,0,4.7198242470369225,2.4883546050350938
306,Cyanopica cooki,46.962750009932684,27.193979492803187,2.5282150611017615e-4,1.075352023774347e-4,46.962750009932684,27.193979492803187,0.5596590449824674,0.6257709386194739,31837,13.12043,3.825737618488723e-6,7.265514988867261e-6,0,3.7774219391850425e-5,4.8160742432213985e-6,0.011647177169204607,0.0027514140246658004,26.439855597664803,14.666810323781373
306,Erithacus rubecula,1020.4494773581653,820.3901478581968,2.3409624575358772e-4,1.0826229658836457e-4,1020.4494773581653,820.3901478581968,0.5596590449824674,0.6257709386194739,31837,13.12043,5.977454955743971e-6,1.6348246065973942e-5,0,1.2937330138505304e-5,1.3376162203326168e-5,0.24785575748046937,0.08387446705643653,572.6676752597807,430.2802642374393
