id_station,mh,rev_date,experimental,control,day_since_install
NF7,NF,2019-03-25,0,9,61
NF8,NF,2019-03-25,0,7,61
OA1,OA,2019-03-25,0,9,61
OA2,OA,2019-03-25,0,NA,61
OA3,OA,2019-03-25,0,6,61
OA4,OA,2019-03-25,10,9,61
OA5,OA,2019-03-25,1,8,61
OA6,OA,2019-03-25,0,8,61
PP10,PP,2019-03-25,0,8,61
PP11,PP,2019-03-25,0,6,61
PP12,PP,2019-03-25,6,7,61
PP2,PP,2019-03-25,0,10,61
PP3,PP,2019-03-25,1,10,61
PP4,PP,2019-03-25,0,10,61
304,PL,2019-04-16,0,9,83
314,PL,2019-04-16,1,10,83
320,PL,2019-04-16,0,10,83
324,PL,2019-04-16,0,10,83
327,PL,2019-04-16,0,10,83
338,PL,2019-04-16,0,10,83
FR1,FR,2019-04-16,0,2,83
FR11,FR,2019-04-16,0,10,83
FR12,FR,2019-04-16,0,9,83
FR13,FR,2019-04-16,0,9,83
FR14,FR,2019-04-16,0,10,83
FR4,FR,2019-04-16,0,9,83
NF12,NF,2019-04-16,0,5,83
NF13,NF,2019-04-16,0,5,83
NF3,NF,2019-04-16,0,10,83
NF4,NF,2019-04-16,0,4,83
NF7,NF,2019-04-16,0,8,83
NF8,NF,2019-04-16,0,7,83
OA1,OA,2019-04-16,0,1,83
OA2,OA,2019-04-16,0,NA,83
OA3,OA,2019-04-16,0,6,83
OA4,OA,2019-04-16,10,7,83
OA5,OA,2019-04-16,0,7,83
OA6,OA,2019-04-16,0,5,83
PP10,PP,2019-04-16,0,7,83
PP11,PP,2019-04-16,0,6,83
PP12,PP,2019-04-16,6,7,83
PP2,PP,2019-04-16,0,10,83
PP3,PP,2019-04-16,0,9,83
PP4,PP,2019-04-16,0,10,83
304,PL,2019-04-30,0,9,97
314,PL,2019-04-30,0,10,97
320,PL,2019-04-30,0,9,97
324,PL,2019-04-30,0,10,97
327,PL,2019-04-30,0,9,97
338,PL,2019-04-30,0,10,97
FR1,FR,2019-04-30,0,2,97
FR11,FR,2019-04-30,0,9,97
FR12,FR,2019-04-30,0,8,97
FR13,FR,2019-04-30,0,9,97
FR14,FR,2019-04-30,0,10,97
FR4,FR,2019-04-30,0,7,97
NF12,NF,2019-04-30,0,5,97
NF13,NF,2019-04-30,0,5,97
NF3,NF,2019-04-30,0,10,97
NF4,NF,2019-04-30,0,4,97
NF7,NF,2019-04-30,0,8,97
NF8,NF,2019-04-30,0,NA,97
OA1,OA,2019-04-30,0,1,97
OA2,OA,2019-04-30,0,NA,97
OA3,OA,2019-04-30,0,6,97
OA4,OA,2019-04-30,10,6,97
OA5,OA,2019-04-30,0,7,97
OA6,OA,2019-04-30,0,5,97
PP10,PP,2019-04-30,0,NA,97
PP11,PP,2019-04-30,0,3,97
PP12,PP,2019-04-30,6,6,97
PP2,PP,2019-04-30,0,10,97
PP3,PP,2019-04-30,0,9,97
PP4,PP,2019-04-30,0,10,97
304,PL,2019-06-03,0,9,131
314,PL,2019-06-03,0,8,131
320,PL,2019-06-03,0,8,131
324,PL,2019-06-03,0,7,131
327,PL,2019-06-03,0,9,131
338,PL,2019-06-03,0,9,131
FR1,FR,2019-06-03,0,1,131
FR11,FR,2019-06-03,0,NA,131
FR12,FR,2019-06-03,0,8,131
FR13,FR,2019-06-03,0,7,131
FR14,FR,2019-06-03,0,10,131
FR4,FR,2019-06-03,0,5,131
NF12,NF,2019-06-03,0,5,131
NF13,NF,2019-06-03,0,3,131
NF3,NF,2019-06-03,0,10,131
NF4,NF,2019-06-03,0,4,131
NF7,NF,2019-06-03,0,6,131
NF8,NF,2019-06-03,0,NA,131
OA1,OA,2019-06-03,0,0,131
OA2,OA,2019-06-03,0,NA,131
OA3,OA,2019-06-03,0,NA,131
OA4,OA,2019-06-03,8,6,131
OA5,OA,2019-06-03,0,6,131
OA6,OA,2019-06-03,0,5,131
PP10,PP,2019-06-03,0,NA,131
PP11,PP,2019-06-03,0,NA,131
PP12,PP,2019-06-03,NA,6,131
PP2,PP,2019-06-03,0,10,131
PP3,PP,2019-06-03,0,NA,131
PP4,PP,2019-06-03,0,NA,131
