date,bird_sp,no_fruits,visit_lenght_s,method,bodymass,bodymass.sd,gape_width,gape_width.sd,diet
2019-11-06,Erithacus rubecula,1,75,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-06,Sylvia melanocephala,3,66,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Turdus merula,5,87,full_plant,86.9,6.471801180994035,13.47,1.0136437659308748,SD
2019-11-06,Sylvia melanocephala,2,192,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-06,Lanius meridionalis,4,217,full_plant,62.3,NA,15.2,NA,SD
2019-11-07,Cyanistes caeruleus,2,157,full_plant,9.7,NA,5.1,NA,PC/SD
2019-11-07,Chloris chloris,3,110,full_plant,23.4,NA,9,NA,SP
2019-11-07,Chloris chloris,12,141,full_plant,23.4,NA,9,NA,SP
2019-11-07,Chloris chloris,10,300,full_plant,23.4,NA,9,NA,SP
2019-11-07,Chloris chloris,4,1001,full_plant,23.4,NA,9,NA,SP
2019-11-07,Chloris chloris,6,43,full_plant,23.4,NA,9,NA,SP
2019-11-07,Chloris chloris,6,139,full_plant,23.4,NA,9,NA,SP
2019-11-07,Sylvia melanocephala,1,42,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-07,Sylvia melanocephala,5,34,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-07,Chloris chloris,4,26,full_plant,23.4,NA,9,NA,SP
2019-11-07,Chloris chloris,5,53,full_plant,23.4,NA,9,NA,SP
2019-11-07,Chloris chloris,6,176,full_plant,23.4,NA,9,NA,SP
2019-11-11,Sylvia melanocephala,2,26,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-11,Chloris chloris,4,70,full_plant,23.4,NA,9,NA,SP
2019-11-11,Chloris chloris,5,32,full_plant,23.4,NA,9,NA,SP
2019-11-11,Chloris chloris,6,97,full_plant,23.4,NA,9,NA,SP
2019-11-11,Sylvia melanocephala,2,84,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-11,Sylvia atricapilla,2,73,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-11-11,Sylvia atricapilla,2,148,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-11-11,Sylvia atricapilla,4,194,full_plant,17.925,2.8205775817617287,7.635,0.3328900561351814,SD
2019-11-11,Saxicola rubicola,1,19,full_plant,14.74,0.7947046970765654,8.42,0.5959119994689747,SD
2019-11-11,Erithacus rubecula,3,76,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-11,Erithacus rubecula,1,52,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-11,Chloris chloris,2,42,full_plant,23.4,NA,9,NA,SP
2019-11-11,Chloris chloris,5,138,full_plant,23.4,NA,9,NA,SP
2019-11-12,Erithacus rubecula,1,296,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-12,Erithacus rubecula,1,80,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-12,Erithacus rubecula,2,60,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-18,Sylvia melanocephala,4,30,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-18,Sylvia undata,1,27,full_plant,9.05,0.8488554385497895,5.61,0.1969207398365592,SD
2019-11-18,Chloris chloris,2,121,full_plant,23.4,NA,9,NA,SP
2019-11-18,Chloris chloris,3,119,full_plant,23.4,NA,9,NA,SP
2019-11-18,Chloris chloris,4,173,full_plant,23.4,NA,9,NA,SP
2019-11-18,Chloris chloris,7,111,full_plant,23.4,NA,9,NA,SP
2019-11-18,Chloris chloris,10,194,full_plant,23.4,NA,9,NA,SP
2019-11-19,Sylvia melanocephala,1,20,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Erithacus rubecula,2,71,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-19,Sylvia melanocephala,1,3,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Turdus merula,2,230,full_plant,86.9,6.471801180994035,13.47,1.0136437659308748,SD
2019-11-19,Sylvia melanocephala,4,15,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Erithacus rubecula,2,88,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-19,Turdus merula,13,96,full_plant,86.9,6.471801180994035,13.47,1.0136437659308748,SD
2019-11-19,Sylvia melanocephala,2,55,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Sylvia melanocephala,3,225,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Sylvia melanocephala,3,234,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Sylvia melanocephala,3,33,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Sylvia melanocephala,4,115,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Sylvia melanocephala,1,159,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Sylvia melanocephala,2,89,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Sylvia melanocephala,1,26,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Sylvia undata,4,72,full_plant,9.05,0.8488554385497895,5.61,0.1969207398365592,SD
2019-11-19,Sylvia melanocephala,4,703,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-19,Erithacus rubecula,1,69,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-19,Erithacus rubecula,1,47,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-19,Chloris chloris,2,12,full_plant,23.4,NA,9,NA,SP
2019-11-19,Chloris chloris,5,89,full_plant,23.4,NA,9,NA,SP
2019-11-19,Sylvia melanocephala,1,65,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
